type,nom,sous_type,gestionnaire,surface_m2,adresse,commune,statut,potable,dog_friendly,lat,lon,google_maps
étang_bassin,Bassin 1 Château du Belvédère,Bassin,Autre,19.19,,,,,,50.891264475475,4.354779777753458,https://www.google.com/maps/search/?api=1&query=50.891264475475%2C4.354779777753458
étang_bassin,Mare du Kattenberg aval,Etang,Bruxelles,84.08,,,,,,50.8923347140776,4.3498900707741015,https://www.google.com/maps/search/?api=1&query=50.8923347140776%2C4.3498900707741015
étang_bassin,Bassin octogonal,Bassin,Bruxelles,455.15,,,,,,50.84363516461737,4.363153572158985,https://www.google.com/maps/search/?api=1&query=50.84363516461737%2C4.363153572158985
étang_bassin,Bassin circulaire,Bassin,Bruxelles,560.56,,,,,,50.84698304620597,4.384166134186724,https://www.google.com/maps/search/?api=1&query=50.84698304620597%2C4.384166134186724
étang_bassin,Bassin rectangulaire est du Square Palmerston,Bassin,Bruxelles,137.79,,,,,,50.84691193301553,4.381636689823937,https://www.google.com/maps/search/?api=1&query=50.84691193301553%2C4.381636689823937
étang_bassin,Etang 1 du Tweebeek,Etang,Bruxelles,662.83,,,,,,50.900030724452215,4.393662528089466,https://www.google.com/maps/search/?api=1&query=50.900030724452215%2C4.393662528089466
étang_bassin,Etang 5 du Tweebeek,Etang,Bruxelles,331.83,,,,,,50.90063016304881,4.397211067896533,https://www.google.com/maps/search/?api=1&query=50.90063016304881%2C4.397211067896533
étang_bassin,Bassin îlot Boulet/Marché aux Grains,Bassin,Autre,67.54,,,,,,50.8492861344772,4.344860468507097,https://www.google.com/maps/search/?api=1&query=50.8492861344772%2C4.344860468507097
étang_bassin,Bassin des Otaries,Bassin,Bruxelles,73.14,,,,,,50.838454963593364,4.379171853535252,https://www.google.com/maps/search/?api=1&query=50.838454963593364%2C4.379171853535252
étang_bassin,Etang du Silure,Etang,Autre,91085.78,,,,,,50.88347984986017,4.367415555183314,https://www.google.com/maps/search/?api=1&query=50.88347984986017%2C4.367415555183314
étang_bassin,Etang Osseghem,Etang,Bruxelles,8197.0,,,,,,50.89533973619168,4.344697958698666,https://www.google.com/maps/search/?api=1&query=50.89533973619168%2C4.344697958698666
étang_bassin,Bassin rectangulaire à gradins,Bassin,Bruxelles,227.83,,,,,,50.84695408712603,4.383105221074148,https://www.google.com/maps/search/?api=1&query=50.84695408712603%2C4.383105221074148
étang_bassin,Bassin Sud de la place de la Belgique,Bassin,Bruxelles,3432.42,,,,,,50.89794222558836,4.338789750747695,https://www.google.com/maps/search/?api=1&query=50.89794222558836%2C4.338789750747695
étang_bassin,Etang Prince Charles,Etang,Autre,2945.33,,,,,,50.88129880924885,4.351347871622058,https://www.google.com/maps/search/?api=1&query=50.88129880924885%2C4.351347871622058
étang_bassin,Etang Clémentine,Etang,Bruxelles,2496.08,,,,,,50.88585084722164,4.343575439730985,https://www.google.com/maps/search/?api=1&query=50.88585084722164%2C4.343575439730985
étang_bassin,Bassin Saint-Gery/ de la Senne,Bassin,Autre,205.49,,,,,,50.8475247113045,4.346565279731715,https://www.google.com/maps/search/?api=1&query=50.8475247113045%2C4.346565279731715
étang_bassin,Etang Hoogleest,Etang,Autre,7089.96,,,,,,50.88668493731505,4.373520991159791,https://www.google.com/maps/search/?api=1&query=50.88668493731505%2C4.373520991159791
étang_bassin,Mare Château du Belvédère,Etang,Autre,62.73,,,,,,50.89051316048859,4.354408599421138,https://www.google.com/maps/search/?api=1&query=50.89051316048859%2C4.354408599421138
étang_bassin,Bassin rectangulaire ouest du Square Palmerston,Bassin,Bruxelles,136.31,,,,,,50.84687591128913,4.380391221533014,https://www.google.com/maps/search/?api=1&query=50.84687591128913%2C4.380391221533014
étang_bassin,Etang aux Palmiers,Etang,Autre,9144.54,,,,,,50.892145121920976,4.3603203473551995,https://www.google.com/maps/search/?api=1&query=50.892145121920976%2C4.3603203473551995
étang_bassin,Etang 1 Stuyvenberg,Etang,Autre,876.83,,,,,,50.89094667856262,4.348223251680779,https://www.google.com/maps/search/?api=1&query=50.89094667856262%2C4.348223251680779
